name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,ROI
101 Dalmatians,G,Adventure,1996,"November 27, 1996 (United States)",5.7,105000.0,Stephen Herek,Dodie Smith,Glenn Close,United States,75000000.0,320689294.0,Walt Disney Pictures,103.0,3.275857253333333
Crash,NC-17,Drama,1996,"March 21, 1997 (United States)",6.4,54000.0,David Cronenberg,J.G. Ballard,James Spader,Canada,9000000.0,2671291.0,Alliance Communications Corporation,100.0,-0.7031898888888889
Jerry Maguire,R,Comedy,1996,"December 13, 1996 (United States)",7.3,249000.0,Cameron Crowe,Cameron Crowe,Tom Cruise,United States,50000000.0,273552592.0,TriStar Pictures,139.0,4.47105184
The Rock,R,Action,1996,"June 7, 1996 (United States)",7.4,319000.0,Michael Bay,David Weisberg,Sean Connery,United States,75000000.0,335062621.0,Hollywood Pictures,136.0,3.4675016133333334
A Time to Kill,R,Crime,1996,"July 24, 1996 (United States)",7.5,138000.0,Joel Schumacher,John Grisham,Matthew McConaughey,United States,40000000.0,152266007.0,New Regency Productions,149.0,2.806650175
The Craft,R,Drama,1996,"May 3, 1996 (United States)",6.4,82000.0,Andrew Fleming,Peter Filardi,Robin Tunney,United States,15000000.0,24819936.0,Columbia Pictures,101.0,0.6546624
Primal Fear,R,Crime,1996,"April 3, 1996 (United States)",7.7,196000.0,Gregory Hoblit,William Diehl,Richard Gere,United States,30000000.0,102616183.0,Paramount Pictures,129.0,2.4205394333333334
Mars Attacks!,PG-13,Comedy,1996,"December 13, 1996 (United States)",6.3,214000.0,Tim Burton,Len Brown,Jack Nicholson,United States,70000000.0,101371017.0,Tim Burton Productions,106.0,0.4481573857142857
The English Patient,R,Drama,1996,"December 6, 1996 (United States)",7.4,182000.0,Anthony Minghella,Michael Ondaatje,Ralph Fiennes,United States,27000000.0,231976425.0,Miramax,162.0,7.591719444444444
The Long Kiss Goodnight,R,Action,1996,"October 11, 1996 (United States)",6.8,76000.0,Renny Harlin,Shane Black,Geena Davis,United States,65000000.0,89456761.0,New Line Cinema,121.0,0.3762578615384615
Bottle Rocket,R,Comedy,1996,"February 21, 1996 (United States)",7.0,72000.0,Wes Anderson,Owen Wilson,Luke Wilson,United States,7000000.0,560069.0,Columbia Pictures,91.0,-0.9199901428571429
Stealing Beauty,R,Drama,1996,"June 14, 1996 (United States)",6.6,27000.0,Bernardo Bertolucci,Bernardo Bertolucci,Jeremy Irons,Italy,10000000.0,4762310.0,Fiction,118.0,-0.523769
Bound,R,Crime,1996,"October 4, 1996 (United States)",7.3,52000.0,Lana Wachowski,Lilly Wachowski,Jennifer Tilly,United States,4500000.0,3802260.0,Dino De Laurentiis Company,109.0,-0.15505333333333332
Sling Blade,R,Drama,1996,"March 14, 1997 (United States)",8.0,89000.0,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,United States,1000000.0,24444121.0,Miramax,135.0,23.444121
The Mirror Has Two Faces,PG-13,Comedy,1996,"November 15, 1996 (United States)",6.6,18000.0,Barbra Streisand,André Cayatte,Barbra Streisand,United States,42000000.0,41083864.0,TriStar Pictures,126.0,-0.021812761904761904
The Birdcage,R,Comedy,1996,"March 8, 1996 (United States)",7.1,83000.0,Mike Nichols,Jean Poiret,Robin Williams,United States,31000000.0,185260553.0,United Artists,117.0,4.976146870967742
That Thing You Do!,PG,Comedy,1996,"October 4, 1996 (United States)",6.9,64000.0,Tom Hanks,Tom Hanks,Tom Hanks,United States,26000000.0,34585416.0,Clavius Base,108.0,0.3302083076923077
The Island of Dr. Moreau,PG-13,Horror,1996,"August 23, 1996 (United States)",4.5,32000.0,John Frankenheimer,H.G. Wells,David Thewlis,United States,40000000.0,49627779.0,New Line Cinema,96.0,0.240694475
Kingpin,PG-13,Comedy,1996,"July 26, 1996 (United States)",6.9,79000.0,Bobby Farrelly,Barry Fanaro,Woody Harrelson,United States,27000000.0,25023434.0,Rysher Entertainment,114.0,-0.07320614814814815
The Hunchback of Notre Dame,G,Animation,1996,"June 21, 1996 (United States)",7.0,146000.0,Gary Trousdale,Tab Murphy,Demi Moore,United States,100000000.0,325338851.0,Walt Disney Animation Studios,91.0,2.25338851
The Frighteners,R,Comedy,1996,"July 19, 1996 (United States)",7.1,84000.0,Peter Jackson,Fran Walsh,Michael J. Fox,New Zealand,30000000.0,29359216.0,Universal Pictures,110.0,-0.021359466666666667
Eraser,R,Action,1996,"June 21, 1996 (United States)",6.1,106000.0,Chuck Russell,Tony Puryear,Arnold Schwarzenegger,United States,100000000.0,242295562.0,Kopelson Entertainment,115.0,1.42295562
Striptease,R,Comedy,1996,"June 28, 1996 (United States)",4.5,44000.0,Andrew Bergman,Carl Hiaasen,Demi Moore,United States,40000000.0,113309743.0,Castle Rock Entertainment,115.0,1.832743575
Star Trek: First Contact,PG-13,Action,1996,"November 22, 1996 (United States)",7.6,120000.0,Jonathan Frakes,Gene Roddenberry,Patrick Stewart,United States,45000000.0,146027888.0,Digital Image Associates,111.0,2.2450641777777776
Swingers,R,Comedy,1996,"April 11, 1997 (Brazil)",7.2,77000.0,Doug Liman,Jon Favreau,Vince Vaughn,United States,200000.0,4555020.0,Doug Liman Productions,96.0,21.7751
Escape from L.A.,R,Action,1996,"August 9, 1996 (United States)",5.7,71000.0,John Carpenter,John Carpenter,Kurt Russell,United States,50000000.0,25477365.0,Paramount Pictures,101.0,-0.4904527
The Cable Guy,PG-13,Comedy,1996,"June 14, 1996 (United States)",6.1,157000.0,Ben Stiller,Lou Holtz Jr.,Jim Carrey,United States,47000000.0,102825796.0,Columbia Pictures,96.0,1.1877828936170214
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,R,Comedy,1996,"January 12, 1996 (United States)",6.6,50000.0,Paris Barclay,Shawn Wayans,Shawn Wayans,United States,3800000.0,20949601.0,Island Pictures,89.0,4.513052894736842
Thinner,R,Fantasy,1996,"October 25, 1996 (United States)",5.8,29000.0,Tom Holland,Stephen King,Robert John Burke,United States,8500000.0,15315484.0,Paramount Pictures,93.0,0.8018216470588235
Hard Eight,R,Crime,1996,"February 28, 1997 (United States)",7.2,45000.0,Paul Thomas Anderson,Paul Thomas Anderson,Philip Baker Hall,United States,3000000.0,222559.0,Green Parrot,101.0,-0.9258136666666666
The Nutty Professor,PG-13,Comedy,1996,"June 28, 1996 (United States)",5.6,112000.0,Tom Shadyac,Jerry Lewis,Eddie Murphy,United States,54000000.0,273961019.0,Imagine Entertainment,95.0,4.0733522037037035
Hamlet,PG-13,Drama,1996,"December 25, 1996 (United States)",7.7,37000.0,Kenneth Branagh,William Shakespeare,Kenneth Branagh,United Kingdom,18000000.0,4770222.0,Castle Rock Entertainment,242.0,-0.7349876666666667
Big Night,R,Drama,1996,"September 20, 1996 (United States)",7.3,18000.0,Campbell Scott,Stanley Tucci,Tony Shalhoub,United States,4100000.0,12008376.0,Rysher Entertainment,109.0,1.9288721951219512
The Ghost and the Darkness,R,Adventure,1996,"October 11, 1996 (United States)",6.8,58000.0,Stephen Hopkins,William Goldman,Michael Douglas,Germany,55000000.0,38619405.0,Constellation Entertainment,110.0,-0.297829
Courage Under Fire,R,Action,1996,"July 12, 1996 (United States)",6.6,52000.0,Edward Zwick,Patrick Sheane Duncan,Denzel Washington,United States,46000000.0,100860818.0,Fox 2000 Pictures,116.0,1.1926264782608695
The First Wives Club,PG,Comedy,1996,"September 20, 1996 (United States)",6.4,45000.0,Hugh Wilson,Olivia Goldsmith,Goldie Hawn,United States,26000000.0,181489203.0,Paramount Pictures,103.0,5.980353961538461
Set It Off,R,Action,1996,"November 6, 1996 (United States)",6.9,15000.0,F. Gary Gray,Takashi Bufford,Jada Pinkett Smith,United States,9000000.0,41590886.0,New Line Cinema,123.0,3.6212095555555557
James and the Giant Peach,PG,Animation,1996,"April 12, 1996 (United States)",6.7,62000.0,Henry Selick,Roald Dahl,Paul Terry,United Kingdom,38000000.0,28946127.0,Walt Disney Pictures,79.0,-0.2382598157894737
DragonHeart,PG-13,Action,1996,"May 31, 1996 (United States)",6.5,93000.0,Rob Cohen,Patrick Read Johnson,Dennis Quaid,United States,57000000.0,115267375.0,Universal Pictures,103.0,1.022234649122807
Executive Decision,R,Action,1996,"March 15, 1996 (United States)",6.4,52000.0,Stuart Baird,Jim Thomas,Kurt Russell,United States,55000000.0,121969216.0,Warner Bros.,133.0,1.2176221090909092
Bio-Dome,PG-13,Comedy,1996,"January 12, 1996 (United States)",4.4,26000.0,Jason Bloom,Adam Leff,Pauly Shore,United States,15000000.0,13427615.0,Metro-Goldwyn-Mayer (MGM),88.0,-0.10482566666666666
Jack,PG-13,Comedy,1996,"August 9, 1996 (United States)",5.8,57000.0,Francis Ford Coppola,James DeMonaco,Robin Williams,United States,45000000.0,58620973.0,Hollywood Pictures,113.0,0.3026882888888889
White Squall,PG-13,Adventure,1996,"February 2, 1996 (United States)",6.6,22000.0,Ridley Scott,Charles Gieg Jr.,Jeff Bridges,United States,38000000.0,10292300.0,Hollywood Pictures,129.0,-0.72915
Broken Arrow,R,Action,1996,"February 9, 1996 (United States)",6.0,93000.0,John Woo,Graham Yost,John Travolta,United States,50000000.0,150270147.0,Twentieth Century Fox,108.0,2.00540294
Emma,PG,Comedy,1996,"August 30, 1996 (United States)",6.7,37000.0,Douglas McGrath,Jane Austen,Gwyneth Paltrow,United Kingdom,6000000.0,22231658.0,Miramax,120.0,2.7052763333333334
Chain Reaction,PG-13,Action,1996,"August 2, 1996 (United States)",5.7,49000.0,Andrew Davis,Arne Schmidt,Keanu Reeves,United States,50000000.0,60209334.0,3 Arts Entertainment,107.0,0.20418668
Kama Sutra: A Tale of Love,Unrated,Crime,1996,"February 28, 1997 (United States)",6.0,10000.0,Mira Nair,Helena Kriel,Naveen Andrews,United Kingdom,3000000.0,4109095.0,NDF International,114.0,0.36969833333333335
The Crucible,PG-13,Drama,1996,"November 27, 1996 (United States)",6.8,36000.0,Nicholas Hytner,Arthur Miller,Daniel Day-Lewis,United States,25000000.0,7343114.0,Twentieth Century Fox,124.0,-0.70627544
Waiting for Guffman,R,Comedy,1996,"January 31, 1997 (United States)",7.5,28000.0,Christopher Guest,Christopher Guest,Christopher Guest,United States,4000000.0,2923982.0,Castle Rock Entertainment,84.0,-0.2690045
Secrets & Lies,R,Comedy,1996,"February 28, 1997 (United States)",8.0,39000.0,Mike Leigh,Mike Leigh,Timothy Spall,United Kingdom,4500000.0,13417292.0,Channel Four Films,136.0,1.9816204444444445
Daylight,PG-13,Action,1996,"December 6, 1996 (United States)",5.9,68000.0,Rob Cohen,Leslie Bohem,Sylvester Stallone,United States,80000000.0,159212469.0,Universal Pictures,114.0,0.9901558625
Last Man Standing,R,Action,1996,"September 20, 1996 (United States)",6.4,54000.0,Walter Hill,Ryûzô Kikushima,Bruce Willis,United States,67000000.0,47267001.0,New Line Cinema,101.0,-0.2945223731343284
The Arrival,PG-13,Mystery,1996,"May 31, 1996 (United States)",6.2,34000.0,David Twohy,David Twohy,Charlie Sheen,United States,25000000.0,14063331.0,Live Entertainment,115.0,-0.43746676
Ransom,R,Action,1996,"November 8, 1996 (United States)",6.7,121000.0,Ron Howard,Cyril Hume,Mel Gibson,United States,80000000.0,309492681.0,Touchstone Pictures,121.0,2.8686585125
Beavis and Butt-Head Do America,PG-13,Animation,1996,"December 20, 1996 (United States)",6.8,53000.0,Directors,Mike Judge,Mike Judge,United States,12000000.0,63118386.0,Paramount Pictures,81.0,4.2598655
Fly Away Home,PG,Adventure,1996,"September 13, 1996 (United States)",6.8,24000.0,Carroll Ballard,Bill Lishman,Jeff Daniels,United States,22000000.0,25143818.0,Columbia Pictures,107.0,0.14290081818181818
Tin Cup,R,Comedy,1996,"August 16, 1996 (United States)",6.4,47000.0,Ron Shelton,John Norville,Kevin Costner,United States,45000000.0,53854588.0,New Regency Productions,135.0,0.19676862222222222
Barb Wire,R,Action,1996,"May 3, 1996 (United States)",3.4,26000.0,David Hogan,Chris Warner,Pamela Anderson,United States,9000000.0,3793614.0,Polygram Filmed Entertainment,98.0,-0.5784873333333334
The Phantom,PG,Action,1996,"June 7, 1996 (United States)",5.0,33000.0,Simon Wincer,Lee Falk,Billy Zane,Australia,45000000.0,17323326.0,Paramount Pictures,100.0,-0.6150372
The Fan,R,Action,1996,"August 16, 1996 (United States)",5.9,47000.0,Tony Scott,Peter Abrahams,Robert De Niro,United States,55000000.0,18626419.0,TriStar Pictures,116.0,-0.6613378363636364
Eye for an Eye,R,Crime,1996,"January 12, 1996 (United States)",6.2,14000.0,John Schlesinger,Erika Holzer,Sally Field,United States,20000000.0,26877589.0,Paramount Pictures,101.0,0.34387945
Trees Lounge,R,Comedy,1996,"October 11, 1996 (United States)",7.1,14000.0,Steve Buscemi,Steve Buscemi,Steve Buscemi,United States,1300000.0,749741.0,Addis Wechsler Pictures,95.0,-0.42327615384615386
The People vs. Larry Flynt,R,Biography,1996,"January 10, 1997 (United States)",7.3,90000.0,Milos Forman,Scott Alexander,Woody Harrelson,United States,36000000.0,20300385.0,Columbia Pictures,130.0,-0.43610041666666666
Freeway,R,Comedy,1996,"September 3, 1997 (France)",6.8,27000.0,Matthew Bright,Matthew Bright,Reese Witherspoon,United States,3000000.0,295493.0,The Kushner-Locke Company,102.0,-0.9015023333333333
Kazaam,PG,Comedy,1996,"July 17, 1996 (United States)",3.0,23000.0,Paul Michael Glaser,Paul Michael Glaser,Shaquille O'Neal,United States,20000000.0,18937262.0,Interscope Communications,93.0,-0.0531369
Down Periscope,PG-13,Comedy,1996,"March 1, 1996 (United States)",6.2,22000.0,David S. Ward,Hugh Wilson,Kelsey Grammer,United States,31000000.0,37553752.0,Twentieth Century Fox,92.0,0.21141135483870968
Mulholland Falls,R,Crime,1996,"April 26, 1996 (United States)",6.3,16000.0,Lee Tamahori,Peter Dexter,Nick Nolte,United States,29000000.0,11526099.0,Largo Entertainment,107.0,-0.6025483103448276
Jingle All the Way,PG,Adventure,1996,"November 22, 1996 (United States)",5.6,95000.0,Brian Levant,Randy Kornfield,Arnold Schwarzenegger,United States,60000000.0,129832389.0,1492 Pictures,89.0,1.16387315
She's the One,R,Comedy,1996,"August 23, 1996 (United States)",6.0,17000.0,Edward Burns,Edward Burns,Edward Burns,United States,3500000.0,9538948.0,Good Machine,96.0,1.7254137142857142
Shine,PG-13,Biography,1996,"February 14, 1997 (United States)",7.7,52000.0,Scott Hicks,Jan Sardi,Geoffrey Rush,Australia,5500000.0,35999081.0,Australian Film Finance Corporation (AFFC),105.0,5.545287454545455
Maximum Risk,R,Action,1996,"September 13, 1996 (United States)",5.5,21000.0,Ringo Lam,Larry Ferguson,Jean-Claude Van Damme,United States,25000000.0,14502483.0,Columbia Pictures,101.0,-0.41990068
Lone Star,R,Drama,1996,"June 21, 1996 (United States)",7.4,28000.0,John Sayles,John Sayles,Chris Cooper,United States,5000000.0,12408986.0,Columbia Pictures,135.0,1.4817972
Michael Collins,R,Biography,1996,"October 25, 1996 (United States)",7.2,30000.0,Neil Jordan,Neil Jordan,Liam Neeson,United Kingdom,25000000.0,11135803.0,Warner Bros.,133.0,-0.55456788
Phenomenon,PG,Drama,1996,"July 3, 1996 (United States)",6.4,76000.0,Jon Turteltaub,Gerald Di Pego,John Travolta,United States,32000000.0,152036382.0,Touchstone Pictures,123.0,3.7511369375
Harriet the Spy,PG,Comedy,1996,"July 10, 1996 (United States)",5.9,9800.0,Bronwen Hughes,Louise Fitzhugh,Michelle Trachtenberg,United States,12000000.0,26570048.0,Paramount Pictures,100.0,1.2141706666666667
Flipper,PG,Adventure,1996,"May 17, 1996 (United States)",5.3,10000.0,Alan Shapiro,Ricou Browning,Paul Hogan,United States,25530000.0,20080020.0,Universal Pictures,95.0,-0.21347356051703878
Evita,PG,Biography,1996,"January 10, 1997 (United States)",6.3,34000.0,Alan Parker,Tim Rice,Madonna,United States,55000000.0,141047179.0,Hollywood Pictures,135.0,1.5644941636363636
Bordello of Blood,R,Comedy,1996,"August 16, 1996 (United States)",5.4,14000.0,Gilbert Adler,William M. Gaines,Dennis Miller,United States,13000000.0,5781045.0,Universal City Studios,87.0,-0.5553042307692307
Spy Hard,PG-13,Action,1996,"May 24, 1996 (United States)",5.4,37000.0,Rick Friedberg,Jason Friedberg,Leslie Nielsen,United States,18000000.0,26960191.0,Hollywood Pictures,81.0,0.4977883888888889
Marvin's Room,PG-13,Drama,1996,"February 28, 1997 (United States)",6.7,26000.0,Jerry Zaks,Scott McPherson,Meryl Streep,United States,23000000.0,12803305.0,Scott Rudin Productions,98.0,-0.4433345652173913
Multiplicity,PG-13,Comedy,1996,"July 17, 1996 (United States)",6.1,31000.0,Harold Ramis,Chris Miller,Michael Keaton,United States,45000000.0,21075014.0,Columbia Pictures,117.0,-0.5316663555555555
Everyone Says I Love You,R,Comedy,1996,"January 17, 1997 (United States)",6.7,36000.0,Woody Allen,Woody Allen,Woody Allen,United States,20000000.0,9759200.0,Miramax,101.0,-0.51204
A Very Brady Sequel,PG-13,Comedy,1996,"August 23, 1996 (United States)",5.8,10000.0,Arlene Sanford,Sherwood Schwartz,Shelley Long,United States,12000000.0,21440752.0,Paramount Pictures,90.0,0.7867293333333333
The Crow: City of Angels,R,Action,1996,"August 30, 1996 (United States)",4.7,19000.0,Tim Pope,James O'Barr,Vincent Perez,United States,13000000.0,17917287.0,Bad Bird Productions,84.0,0.37825284615384613
Basquiat,R,Biography,1996,"August 9, 1996 (United States)",6.9,20000.0,Julian Schnabel,Lech Majewski,Jeffrey Wright,United States,3300000.0,3011195.0,Eleventh Street Production,107.0,-0.08751666666666667
The Quest,PG-13,Action,1996,"April 26, 1996 (United States)",5.6,25000.0,Jean-Claude Van Damme,Frank Dux,Jean-Claude Van Damme,Canada,30000000.0,57400547.0,MDP Worldwide,95.0,0.9133515666666666
Hellraiser: Bloodline,R,Horror,1996,"March 8, 1996 (United States)",5.1,20000.0,Director,Peter Atkins,Bruce Ramsay,United States,4000000.0,9336886.0,Dimension Films,85.0,1.3342215
Manny & Lo,R,Comedy,1996,"July 26, 1996 (United States)",6.6,1900.0,Lisa Krueger,Lisa Krueger,Scarlett Johansson,United States,500000.0,502313.0,Pope Productions,88.0,0.004626
The Chamber,R,Crime,1996,"October 11, 1996 (United States)",6.0,13000.0,James Foley,John Grisham,Chris O'Donnell,United States,50000000.0,22540359.0,Universal Pictures,113.0,-0.54919282
Blood and Wine,R,Crime,1996,"February 21, 1997 (United States)",6.0,9400.0,Bob Rafelson,Nick Villiers,Jack Nicholson,United States,22000000.0,1094668.0,Recorded Picture Company (RPC),101.0,-0.9502423636363636
Jude,R,Drama,1996,"October 18, 1996 (United States)",6.9,10000.0,Michael Winterbottom,Hossein Amini,Christopher Eccleston,United Kingdom,7000000.0,409144.0,BBC Films,123.0,-0.9415508571428571
Bulletproof,R,Action,1996,"September 6, 1996 (United States)",5.8,36000.0,Ernest R. Dickerson,Joe Gayton,Damon Wayans,United States,25000000.0,22611954.0,Universal Pictures,84.0,-0.09552184
Mad Dog Time,R,Comedy,1996,"November 8, 1996 (United States)",5.4,2700.0,Larry Bishop,Larry Bishop,Michael J. Pollard,United States,8000000.0,107874.0,Bruin Grip Services,93.0,-0.98651575
Mrs. Winterbourne,PG-13,Comedy,1996,"April 19, 1996 (United States)",6.2,7100.0,Richard Benjamin,Cornell Woolrich,Shirley MacLaine,United States,25000000.0,10082005.0,TriStar Pictures,105.0,-0.5967198
The Glimmer Man,R,Action,1996,"October 4, 1996 (United States)",5.4,19000.0,John Gray,Kevin Brodbin,Steven Seagal,United States,45000000.0,20351264.0,Warner Bros.,91.0,-0.5477496888888889
Up Close & Personal,PG-13,Drama,1996,"March 1, 1996 (United States)",6.2,14000.0,Jon Avnet,Joan Didion,Robert Redford,United States,60000000.0,100688705.0,Touchstone Pictures,124.0,0.6781450833333333
The Juror,R,Crime,1996,"February 2, 1996 (United States)",5.7,18000.0,Brian Gibson,George Dawes Green,Demi Moore,United States,44000000.0,22754725.0,Columbia Pictures,118.0,-0.4828471590909091
